NAME,Depth,Surface Area,Number of images after masking
LAKE ARGYLE,81,459788750,15
LAKE ARGYLE,82,491993125,17
LAKE ARGYLE,83,542309375,30
LAKE ARGYLE,84,592714375,35
LAKE ARGYLE,85,628145625,27
LAKE ARGYLE,86,683183750,23
LAKE ARGYLE,87,732655000,34
LAKE ARGYLE,88,779051875,43
LAKE ARGYLE,89,838517500,66
LAKE ARGYLE,90,884722500,70
LAKE ARGYLE,91,930828750,59
LAKE ARGYLE,92,973303750,37
LAKE ARGYLE,93,993153750,9
LAKE ARGYLE,94,996833750,7
LAKE ARGYLE,95,998455000,5
LAKE ARGYLE,96,1001233750,9
